State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Uttarakhand,5,5,2022,3,4,0,2,Dr. Jeet Ram,M,INC,24550,61,,63592,106895,THARALI,SC,CHAMOLI,GARHWAL,9,59.49,38.61,no,22684,35.67,2.38,AEUK100183,National Party,3482,TRUE,4,INC,,THARALI,TRUE,TRUE,1,FALSE,FALSE,TRUE,Doctorate,Education,College Professor or Lecturer,,,State Assembly Election (AE)
Uttarakhand,5,5,2022,3,4,0,3,Guddu Lal,M,AAAP,1866,44,,63592,106895,THARALI,SC,CHAMOLI,GARHWAL,9,59.49,2.93,yes,896,1.41,2.38,AEUK100184,State-based Party,13,TRUE,2,IND,10809,THARALI,TRUE,FALSE,0,FALSE,FALSE,FALSE,5th Pass,Agriculture,,,,State Assembly Election (AE)
Uttarakhand,5,5,2022,3,4,0,4,Naini Ram,M,Uttarakhand Janekta Party,970,64,,63592,106895,THARALI,SC,CHAMOLI,GARHWAL,9,59.49,1.53,yes,136,0.21,2.38,AEUK2024666,Local Party,25030,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Former Government,Ex Govt Employee,,,State Assembly Election (AE)
Uttarakhand,5,5,2022,3,4,0,5,Kunwar Ram,M,CPM,834,46,,63592,106895,THARALI,SC,CHAMOLI,GARHWAL,9,59.49,1.31,yes,109,0.17,2.38,AEUK2025265,,,TRUE,2,CPM(Marxist),14635,THARALI,TRUE,FALSE,0,TRUE,FALSE,TRUE,8th Pass,Business,Contractor,,,State Assembly Election (AE)
Uttarakhand,5,5,2022,3,4,0,6,Laxman Ram,M,BSP,725,36,,63592,106895,THARALI,SC,CHAMOLI,GARHWAL,9,59.49,1.14,yes,62,0.1,2.38,AEUK2024670,State-based Party,16651,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8th Pass,Business,Contractor,,,State Assembly Election (AE)
Uttarakhand,5,5,2022,3,4,0,7,None Of The Above,,NOTA,663,,,63592,106895,THARALI,SC,CHAMOLI,GARHWAL,9,59.49,1.04,,136,0.21,2.38,,,,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Uttarakhand,5,5,2022,3,4,0,8,Ganesh Kumar,M,IND,527,58,,63592,106895,THARALI,SC,CHAMOLI,GARHWAL,9,59.49,0.83,yes,139,0.22,2.38,AEUK2024665,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8th Pass,Social Work,,,,State Assembly Election (AE)
Uttarakhand,5,5,2022,3,4,0,9,Kasbi Lal Shah,M,UKKD,388,68,,63592,106895,THARALI,SC,CHAMOLI,GARHWAL,9,59.49,0.61,yes,171,0.27,2.38,AEUK100188,Local Party,13023,TRUE,3,UKD,8464,THARALI,TRUE,FALSE,0,TRUE,FALSE,TRUE,Graduate,Retired or Pension,,,,State Assembly Election (AE)
Uttarakhand,5,5,2022,3,4,0,10,Kishore Kumar,M,SP,217,36,,63592,106895,THARALI,SC,CHAMOLI,GARHWAL,9,59.49,0.34,yes,0,0,2.38,AEUK2024668,State-based Party,7425,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Small Business or Self-employed,,,,State Assembly Election (AE)
Uttarakhand,5,6,2022,3,4,0,1,Anil Nautiyal,M,BJP,28911,63,,59010,97893,KARNPRAYAG,GEN,CHAMOLI,GARHWAL,11,60.28,48.99,no,6715,11.38,2.63,AEUP73190,National Party,1605,TRUE,4,IND,10809,KARNPRAYAG,TRUE,FALSE,3,FALSE,FALSE,FALSE,10th Pass,Business,Rent,Retired or Pension,,State Assembly Election (AE)
Uttarakhand,5,6,2022,3,4,0,2,Mukesh Negi,M,INC,22196,46,,59010,97893,KARNPRAYAG,GEN,CHAMOLI,GARHWAL,11,60.28,37.61,no,19235,32.6,2.63,AEUK2024683,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Small Business or Self-employed,Self-employed,,,State Assembly Election (AE)
Uttarakhand,5,6,2022,3,4,0,3,Teeka Prasad Maikhuri,M,IND,2961,58,,59010,97893,KARNPRAYAG,GEN,CHAMOLI,GARHWAL,11,60.28,5.02,yes,1898,3.22,2.63,AEUK2024676,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Business,Hospitality,Salaried Work or Employed,Insurance Agent,State Assembly Election (AE)
Uttarakhand,5,6,2022,3,4,0,4,Balwant Singh Negi,M,IND,1063,52,,59010,97893,KARNPRAYAG,GEN,CHAMOLI,GARHWAL,11,60.28,1.8,yes,105,0.18,2.63,AEUK2024675,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Literate,Small Business or Self-employed,Self-employed,,,State Assembly Election (AE)
Uttarakhand,5,6,2022,3,4,0,5,None Of The Above,,NOTA,958,,,59010,97893,KARNPRAYAG,GEN,CHAMOLI,GARHWAL,11,60.28,1.62,,61,0.1,2.63,,,,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Uttarakhand,5,6,2022,3,4,0,6,Madan Mohan Singh Bhandari,M,IND,897,38,,59010,97893,KARNPRAYAG,GEN,CHAMOLI,GARHWAL,11,60.28,1.52,yes,307,0.52,2.63,AEUK2024674,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Small Business or Self-employed,,,,State Assembly Election (AE)
Uttarakhand,5,6,2022,3,4,0,7,Indresh Maikhuri,M,CPI(ML)(L),590,43,,59010,97893,KARNPRAYAG,GEN,CHAMOLI,GARHWAL,11,60.28,1,yes,104,0.18,2.63,AEUK100193,,,TRUE,4,CPI(ML)(L),2472,KARNPRAYAG,TRUE,TRUE,0,FALSE,FALSE,TRUE,Post Graduate,Politics,Party Worker,,,State Assembly Election (AE)
Uttarakhand,5,6,2022,3,4,0,8,Dayal Singh Bisht,M,AAAP,486,48,,59010,97893,KARNPRAYAG,GEN,CHAMOLI,GARHWAL,11,60.28,0.82,yes,22,0.04,2.63,AEUK2024680,State-based Party,13,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Salaried Work or Employed,Insurance Agent,,,State Assembly Election (AE)
