State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Madras,4,44,1967,2,2,0,5,D. SUBRAMANIAM,M,IND,769,,,63601,85233,PERNAMALLUR,GEN,,,5,74.62,1.21,yes,0,0,2.94,AEMD84467,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,45,1967,2,2,0,1,S. KUPPAMAL,F,DMK,33292,,,58485,81835,POLUR,GEN,,,3,71.47,56.92,no,13068,22.34,2.22,AEMD84468,State-based Party,10192,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,45,1967,2,2,0,2,S. M. ANNAMALAI,M,INC,20224,,,58485,81835,POLUR,GEN,,,3,71.47,34.58,no,15255,26.08,2.22,AEMD84469,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,45,1967,2,2,0,3,P. KOTHANDARAMAN,M,IND,4969,,,58485,81835,POLUR,GEN,,,3,71.47,8.5,yes,0,0,2.22,AEMD84470,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,46,1967,2,2,0,1,P. S. SANTHANAM,M,DMK,29828,,,52477,78478,CHENGAM,SC,,,5,66.87,56.84,no,11055,21.07,2.22,AEMD84471,State-based Party,10192,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,46,1967,2,2,0,2,A. ARUMUGHAM,M,INC,18773,,,52477,78478,CHENGAM,SC,,,5,66.87,35.77,no,16846,32.1,2.22,AEMD84472,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,46,1967,2,2,0,3,P. DHANAPAL,M,IND,1927,,,52477,78478,CHENGAM,SC,,,5,66.87,3.67,yes,502,0.96,2.22,AETN214193,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,46,1967,2,2,0,4,R. KANNIAH,M,RPI,1425,,,52477,78478,CHENGAM,SC,,,5,66.87,2.72,yes,901,1.72,2.22,AEMD84474,State-based Party (Other State),6911,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,46,1967,2,2,0,5,C. K. MANICKAM,M,IND,524,,,52477,78478,CHENGAM,SC,,,5,66.87,1,yes,0,0,2.22,AEMD84475,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,47,1967,2,2,0,1,K. S. KANDAR,M,INC,29524,,,58680,82797,THANDRAMBATTU,GEN,,,3,70.87,50.31,no,1339,2.28,2.08,AEMD84476,National Party,3482,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
